"","text"
"356"," habis di vaksin apaan nih"
"357","  vaksin tak percaya bf kata tak buaya dekat pubg percaya"
"358","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"359","  sebanyak  orang relawan uji vaksin di bandung jawa barat positif covid kemenkes sebut kejadian ini merupakan bukti"
"360","  vaksin tak percaya pil kurus percaya bagus"
"361","  vaksin tak percaya janji manis lelaki percaya plak"
"362","  vaksin tak percaya pil kurus percaya bagus"
"363","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"364","  vaksin tak percaya pil kurus percaya bagus"
"365","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"366","komnas kipi telah menerima  laporan efek samping terkait vaksin corona buatan sinovac per selasa  begini k "
"367","  gak usah soksokan ketakutan mikir ada kandungan apaan aja di dalam vaksin lu makan mie ayam pake saos botolan yang banyak pa"
"368","  sadar diri adalah vaksin terbaik untuk menghindari luka yang lebih kronis"
"369","  vaksin tak percaya ibu mengandung minum soya anak jadi putih percaya pula"
"370","  wkwkwkwwkwkwwkwk ini absurd bro asli  microchip d vaksin wkwkwwkw"
"371","  vaksin tak percaya pil kurus percaya bagus"
"372","  vaksin tak percaya pil kurus percaya bagus"
"373","  vaksin tak percaya pil kurus percaya bagus"
"374","  ada yg sekarang ngaku pro nkri bawa pancasila kalo bicara
dikira kita semua bungul seperti kadrun

awasfpiularganti"
"375","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"376","  vaksin tak percaya janji manis lelaki percaya plak"
"377","  masyarakat tidak perlu khawatir vaksin sinovac aman dan efektif 

buat masyarakat jangan mudah terprovokasi oleh kabar"
"378","  vaksin tak percaya janji manis lelaki percaya plak"
"379","  vaksin tak percaya pil kurus percaya bagus"
"380","  vaksin tak percaya pil kurus percaya bagus"
"381","  siang tuips ternyata masih banyak masyarakat yang ragu dgn vaksin terutama vaksin sinovac akibat berbagai isu dan disi"
"382","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"383","  temen gua kena covid x gejala infeksi ke lebih berat dari yg pertama sampe presyok asli kalo bisa vaksin mendin"
"384","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"385","  vaksin tak percaya janji manis lelaki percaya plak"
"386","  wkwkwkwwkwkwwkwk ini absurd bro asli  microchip d vaksin wkwkwwkw"
"387","covid survei ini bertujuan untuk mengetahui pandangan para mahasiswa mengenai vaksin ini

dimohon agar selur "
"388","  ini yg kemarin sy dan bbrp teman laporkan terkait hoax soal vaksin
sekali lg sy berharap pemerintah bkn hny meluruskan a"
"389","nobita bebas dari doraemon yang jadi titan gara ga suntik vaksin "
"390","tidak ada laporan efek samping vaksinasi covid di jakarta wagub semoga vaksin kedua lancar  "
"391","erick thohir merek dan jenis vaksin covid mandiri akan berbeda dengan yang gratis    "
"392","  vaksin tak percaya pil kurus percaya bagus"
"393","  vaksin tak percaya pil kurus percaya bagus"
"394","  vaksin tak percaya janji manis lelaki percaya plak"
"395"," abis di vaksin bs glowing in the dark"
"396","  vaksin tak percaya janji manis lelaki percaya plak"
"397","  hoax 
danramil kebomas di gresik meninggal akibat disuntik vaksin covid

fakta
danramil kebomas mayor kav gatot supriy"
"398","moderna selidiki kemungkinan reaksi alergi vaksin covid  tekno tempo covid covid "
"399","  vaksin tak percaya pil kurus percaya bagus"
"400","  cip deh 

"
"401","satu orang pingsan usai vaksin covid di jateng ganjar pastikan tak bahaya  detikhealth covid covid "
"402","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"403","  vaksin tak percaya bf kata tak buaya dekat pubg percaya"
"404","  vaksin tak percaya janji manis lelaki percaya plak"
"405","  israel dosis pertama vaksin pfizer tidak seefektif dari yg diklaim pfizer dan berkemungkinan tidak mampu memproteksi dari"
"406","  vaksin tidak percaya taip y untuk melihat mulut ular di dalam gambar ini terbuka percaya"
"407","       nak tunggu kes rendah itu mungkin ambil masa lama vaksin p"
"408","  vaksin tak percaya pil kurus percaya bagus"
"409","  menurut bpom ada efek samping dr vaksin covid

yaitu level ringan ke sedang nyeri iritasi pembengkakan serta efek samping"
"410","  hoax
video puluhan santri pingsan setelah vaksin covid sinovac

fakta
video tsb menayangkan puluhan santri pondok pesant"
"411","  hoaks dikabarkan meninggal usai disuntik vaksin mayor sugeng saya sehat dan bugar

kadrun kagak inget akherat biki"
"412","  gilakkk ini  

pantas saja teriak rugi terus didepan pak  
ternyata digarong sm oknum berengsek 

jika terb"
"413","  tidak percaya vaksin tapi percaya krim abalabal adaada saja kelakuan beberapa manusia"
"414","  vaksin tak percaya pil kurus percaya bagus"
"415","  vaksin covid

aman 
dr tirta yg sdh divaksin tidak merasakan efek buruk

tambah makan x sehari 
laper apa doyan dok"
"416","  hoax
vaksin covid memiliki chip yang dapat melacak orang

fakta
juru bicara kementerian kominfo menyatakan bahwa barcod"
"417","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"418","  duterte menjawab senator itu kamu mau vaksin pfizer di norwegia  mati sesudah disuntik ok saya belikan buat kalian "
"419","  vaksin tak percaya bercinta percaya pulak"
"420","  hoax
video bill gates rapat dengan cia mengenai vaksin pada tahun 

fakta
video telah beredar sejak  lalu presente"
"421","  vaksin tak percaya pil kurus percaya bagus"
"422","papasan sama mobil yg ngangkut vaksin jd pengen ikutan naik"
"423","  info penting vaksin

untuk penggunaan vaksin itu bpom memastikan dari awal produksi hingga tahap distribusi keseluruha"
"424","  hoax 
ketika di vaksin microchip yg sangat kecil dipasang tanpa terasa new dajjal siap membunuh  milyard manusia

fak"
"425","  vaksin tak percaya pil kurus percaya bagus"
"426","  vaksin tak percaya janji manis lelaki percaya plak"
"427","  vaksin tak percaya janji manis lelaki percaya plak"
"428","  vaksin tak percaya janji manis lelaki percaya plak"
"429","  hai gaes sudah tau kan pemerintah indonesia telah memulai tahap vaksinasi covid  presiden jokowi yg pertama disuntik v"
"430","  urusan vaksin di filipina kacau warga filipina yg seperti biasa berlagak keamerikaan mendesak duterte menyediakan vaksin"
"431","vaksin tak percaya janji manis kekasih percaya pulak"
"432","  di awal kemunculan dokter  saya gak respek saya anggap dia terlalu berlebihan 
tapi ternyata sikap dia yang s"
"433","gubernur jawa tengah sebagai yang pertama menerima vaksin di jawa tengah dan kalian selanjutnya yaa ayo kita suk "
"434","  hoax
vaksin yang dipakai jokowi tidak asli krn harus menggunakan alat suntik

fakta
vaksin yang dikemas menggunakan prefill"
"435","  ayo  tindak tegas penyebar hoax terkait vaksin covid ini sangat berbahaya karena dapat membuat masyarakat t"
"436","  vaksin tak percaya pil kurus percaya bagus"
"437"," menyebarkan hoax vaksin dan membuat orang menolak di vaksinasi dimasa pandemi adalah tindakan kejahatan "
"438","  vaksin tak percaya pil kurus percaya bagus"
"439","  jadi jangan ragu untuk melakukan vaksin dan tentunya tetap disiplin menjalankan m menggunakan masker mencuci tangan denga"
"440","  vaksin tak percaya pil kurus percaya bagus"
"441","  vaksin tak percaya pil kurus percaya bagus"
"442","  vaksin tak percaya pil kurus percaya bagus"
"443","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"444","  vaksin tak percaya janji manis lelaki percaya plak"
"445","  vaksin tak percaya pil kurus percaya bagus"
"446","  ternyata faktanya bahwa para laskar justru menunggu dgn kata lain dgn pogah nantangin aparat dan jika ada yg tewas dl"
"447","  vaksin tak percaya janji manis lelaki percaya plak"
"448","  vaksin tak percaya pil kurus percaya bagus"
"449","  vaksin tidak percaya taip y untuk melihat mulut ular di dalam gambar ini terbuka percaya"
"450","  vaksin tak percaya janji manis lelaki percaya plak"
"451","  vaksin tak percaya buaya cakap sumpah b i sayang u sorang je love u now n forever takkan jumpa penganti percaya"
"452","  amankah vaksin kovid

jawab amaaaan 

 sdh suci amp halal sesuci dirimu yg mengklaim masuk surga
 sdh ada izin bpom a"
"453","  vaksin tak percaya pil kurus percaya bagus"
"454","ohh ini vaksin covidnya

loh kok ky pernah liat "
"455","  vaksin tak percaya pil kurus percaya bagus"
"456","  vaksin sinovac sdh diuji di tiongkok indonesia brazil dan turki
aman krn sdh mendapat izin emergency use authorization"
"457","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"458","wkwkwkwwkwkwwkwk ini absurd bro asli  microchip d vaksin wkwkwwkw "
"459","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"460","  kembali politik vaksin di brazil foto perawat yg mendapat vaksin sinovac pertama di brazil menjadi viral di brazil dan lan"
"461","  menurut bpom ada efek samping dr vaksin covid

yaitu level ringan ke sedang nyeri iritasi pembengkakan serta efek samping"
"462","  vaksin tak percaya pil kurus percaya bagus"
"463","  merinding guesayup sayup teriakan rakyat memanggil pemimpin bangsa ketika mengunjungi daerah terkena dampak bencana"
"464","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"465","  vaksin tak percaya pil kurus percaya bagus"
"466","  vaksin tak percaya pil kurus percaya bagus"
"467","  vaksin covid

aman 
dr tirta yg sdh divaksin tidak merasakan efek buruk

tambah makan x sehari 
laper apa doyan dok"
"468","  vaksin tak percaya pil kurus percaya bagus"
"469","  vaksin tak percaya pil kurus percaya bagus"
"470","  setelah tibanya vaksin covid sinovac asal china di indonesia pt bio farma menyampaikan hasil audit awal uji vaksin dengan"
"471","  vaksin tak percaya pil kurus percaya bagus"
"472","program pemberian vaksin merupakan wujud nyata guna melindungi segenap rakyat indonesia albumizonedarishopee "
"473","  vaksin tak percaya bercinta percaya pulak"
"474","  vaksin tak percaya pil kurus percaya bagus"
"475","  vaksin tak percaya tapi petua minum air soya banyakbanyak supaya anak lahir putih melepak percaya pulak"
"476","  vaksin sinovac sdh diuji di tiongkok indonesia brazil dan turki
aman krn sdh mendapat izin emergency use authorization"
"477","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"478","  menurut bpom ada efek samping dr vaksin covid

yaitu level ringan ke sedang nyeri iritasi pembengkakan serta efek samping"
"479","  vaksin tak percaya janji manis lelaki percaya plak"
"480","  vaksin tak percaya pil kurus percaya bagus"
"481","  vaksin tak percaya janji manis lelaki percaya plak"
"482","  vaksin covid

aman 
dr tirta yg sdh divaksin tidak merasakan efek buruk

tambah makan x sehari 
laper apa doyan dok"
"483","  amankah vaksin kovid

jawab amaaaan 

 sdh suci amp halal sesuci dirimu yg mengklaim masuk surga
 sdh ada izin bpom a"
"484","  vaksin tak percaya janji manis lelaki percaya plak"
"485","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"486","  vaksin tidak percaya taip y untuk melihat mulut ular di dalam gambar ini terbuka percaya"
"487","  vaksin tak percaya pil kurus percaya bagus"
"488","  antivaxx lepas kena paksa cucuk vaksin "
"489","  hai drun masih g mau bersyukur jg dg negara ini tentang vaksin

mau kalian jd sprti republik guinea yg hny bs mendapatk"
"490","  vaksin tak percaya pil kurus percaya bagus"
"491","  masyarakat tidak perlu khawatir vaksin sinovac aman dan efektif 

buat masyarakat jangan mudah terprovokasi oleh kabar"
"492","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"493","vaksin tak percaya bf kata tak buaya dekat pubg percaya"
"494","  vaksin tak percaya janji manis lelaki percaya plak"
"495","  info penting vaksin

untuk penggunaan vaksin itu bpom memastikan dari awal produksi hingga tahap distribusi keseluruha"
"496","  banyak orang ragu ikut vaksin karena terhasut hoax yang sengaja dibuat oleh kelompok yang ingin indonesia hancur secara eko"
"497","  vaksin tak percaya janji manis lelaki percaya plak"
"498","  vaksin tak percaya pil kurus percaya bagus"
"499","vaksin tak percaya ibu mengandung minum soya anak jadi putih percaya pula"
"500","  untuk kalian ketahui saja uji klinis tahap  yg di lakukan diindonesia utk vaksin sinovac tingkat efikasi mencapai "
"501","membubarkan dan melarang aktivitas fpi adalah langkah yang tepat 

tangkal hoax vaksin kovid
awasfpiulargantikulit "
"502","  vaksin tak percaya janji manis lelaki percaya plak"
"503","  vaksin tak percaya pil kurus percaya bagus"
"504","   terus gaes jangan percaya akan hoax kalo vaksin tdk halal mengandung bahan tertentu lahtenang aja buat umat muslim yg"
"505","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"506","  sobatdamai jangan sampai lengah ya walaupun vaksin covid sudah ada protokol kesehatan harus tetap dijalankan disiplin m"
"507","  pemerintah dituduh secara tidak adil memberikan kontrak produksi vaksin kepada perusahaan yang menjalin hubungan baik dengan"
"508","laskar preman fpi sok jago jadi teroris langsung kena sikat habis 

tangkal hoax vaksin kovid "
"509","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"510","  vaksin tidak percaya taip y untuk melihat mulut ular di dalam gambar ini terbuka percaya"
"511","  vaksin tak percaya prince meed percaya pulak"
"512","  vaksin tak percaya pil kurus percaya bagus"
"513","  hoax
video bill gates rapat dengan cia mengenai vaksin pada tahun 

fakta
video telah beredar sejak  lalu presente"
"514","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"515","  hoax 
ketika di vaksin microchip yg sangat kecil dipasang tanpa terasa new dajjal siap membunuh  milyard manusia

fak"
"516","udah ngerti kan sekarang jangan lagi ikutikutan ormas fpi 

tangkal hoax vaksin kovid
awasfpiulargantikulit "
"517","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"518","  vaksin tak percaya janji manis lelaki percaya plak"
"519","  vaksin tak percaya pil kurus percaya bagus"
"520","  dr walid zaher chief research g yg melakukan uji klinis fase  sinopharm di uae mengatakan vaksin sinopharm terbukti mem"
"521","sebuah studi barubaru ini yang diterbitkan dalam the journal of clinical investigation menunjukkan bahwa bacillu "
"522","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"523","  vaksin tak percaya janji manis lelaki percaya plak"
"524","  smw pihak mnyatakn ingin virus segera mnjauh tpi lucunya mrk gk mw di vaksin

pdhl berdasarkn hsil uji klinis fase ktig"
"525","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"526","dukung pembubaran fpi usut tuntas kepemilikan senjata fpi

tangkal hoax vaksin kovid
awasfpiulargantikulit "
"527","  vaksin tak percaya janji manis lelaki percaya plak"
"528","  ooh terkait pembentukan antibodi ya aku pernah baca antibodi yg terbentuk alami kr "
"529","vaksin merah putih tetap di perlukan meskipun indonesia sudah membeli vaksin dari negara lain
bilang saudaramu "
"530","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"531","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"532","  vaksin tak percaya pil kurus percaya bagus"
"533","  vaksin tak percaya pil kurus percaya bagus"
"534","  hai gaes sudah tau kan pemerintah indonesia telah memulai tahap vaksinasi covid  presiden jokowi yg pertama disuntik v"
"535","  vaksin tak percaya pil kurus percaya bagus"
"536","  vaksin tak percaya pil kurus percaya bagus"
"537","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"538","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"539","niat hati ingin vaksin eh malah kabir kau broo semoga baik aja"
"540","  gaes vaksin sinovac produksi perusahaan bioteknologi 
berbendera china bernama sinovac biotech ltdperusahaan ini bermar"
"541","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"542","  vaksin tak percaya janji manis lelaki percaya plak"
"543","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"544","  vaksin tak percaya pil kurus percaya bagus"
"545","  tapi  dosis vaksin moderna sdh didistribusikan ke  tempat vaksinasi pejabat kesehatan california menghimbau vaksi"
"546","menurut ramalan my tahun  akan ada pergantian presiden kemudian direvisi jadi tahun 

ini nggak usah dirama "
"547","  temen gua kena covid x gejala infeksi ke lebih berat dari yg pertama sampe presyok asli kalo bisa vaksin mendin"
"548","  vaksin tak percaya pil kurus percaya bagus"
"549","  siang tuips ternyata masih banyak masyarakat yang ragu dgn vaksin terutama vaksin sinovac akibat berbagai isu dan disi"
"550","  vaksin tak percaya pil kurus percaya bagus"
"551","  vaksin tak percaya tapi petua minum air soya banyakbanyak supaya anak lahir putih melepak percaya pulak"
"552","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"553","  ada yg bilang vaksin dikasih chip di dalamnya koyoke mendem gadung sing ngomong 

yg dimaksud menteri  itu adal"
"554","  pengurus wilayah muhammadiyah jabar stlh divaksin
malah tidur tadi malam sngt nyenyak bangun di pagi malah lebih percay"
"555","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"556","  vaksin tak percaya pil kurus percaya bagus"
"557","  vaksin tak percaya janji manis lelaki percaya plak"
"558","  vaksin tak percaya pil kurus percaya bagus"
"559","  vaksin tak percaya pil kurus percaya bagus"
"560","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"561","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"562","  israel dosis pertama vaksin pfizer tidak seefektif dari yg diklaim pfizer dan berkemungkinan tidak mampu memproteksi dari"
"563","beredar video kepala bpom ditekan dan diancam keluarkan izin vaksin covid cek faktanya  "
"564","  erick thohir merek dan jenis vaksin covid mandiri akan berbeda dengan yang gratis "
"565","  vaksin tak percaya pil kurus percaya bagus"
"566","  setelah amerika amp eropa barat memulai vaksinasi dgn vaksin pfizer kemudian agak terhambat krn produksi macet negara lain"
"567","  vaksin sinovac sudah di uji di tiongkok kemudian indonesia brazil dan turki 

vaksin sinovac juga sudah mendapatkan ijin"
"568","  vaksin tak percaya pil kurus percaya bagus"
"569","vaksin terbaik bagi mengawal wabak covid ini adalah diri kita sendiri

jaga diri dan keluarga patuhi sop dan a "
"570","di mojokmentok kali ini mas  mewawancarai  salah satu penerima vaksin covid pertama lho "
"571","  vaksin tak percaya pil kurus percaya bagus"
"572","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"573","  di satu rs california vaksinasi dgn vaksin moderna vaksin mrna dihentikan setelah terjadi reaksi alergi beruntun dari pen"
"574","  vaksin tak percaya bercinta percaya pulak"
"575","  jadi jangan ragu untuk melakukan vaksin dan tentunya tetap disiplin menjalankan m menggunakan masker mencuci tangan denga"
"576","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"577","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"578","  vaksin tak percaya pil kurus percaya bagus"
"579","  vaksin tak percaya janji manis lelaki percaya plak"
"580","  vaksin tak percaya pil kurus percaya bagus"
"581","  benar juga batch vaksin moderna ditarik dari peredaran karena warga kena shock setelah divaksin moderna belum pernah memp"
"582","  cip deh 

"
"583","  kode barcode yg menempel pd botol cairan vaksin dibilang chip yg ada dlm vaksin
kadrun kalo membodohi temannya sendiri g"
"584","  vaksin covid kerajaan bawa orang tak mahu percaya 
pil kurus kat chow kit road atau internet ramai percaya  
apal"
"585","  vaksin tak percaya pil kurus percaya bagus"
"586","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"587","  vaksin tak percaya pil kurus percaya bagus"
"588","  indonesia telah memesan  juta dosis vaksin yang dikembangkan oleh sinovac sedangkan brasil di peringkat kedua dengan "
"589","  vaksin tak percaya pil kurus percaya bagus"
"590","  vaksin tak percaya pil kurus percaya bagus"
"591","  vaksin tak percaya pil kurus percaya bagus"
"592","  vaksin tak percaya pil kurus percaya bagus"
"593","  vaksin tak percaya janji manis lelaki percaya plak"
"594","  vaksin tak percaya pil kurus percaya bagus"
"595","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"596","  vaksin tak percaya pil kurus percaya bagus"
"597","kok ada ya orang yang mempermasalahkan vaksin padahal dia ngerokok i mean vaksin udah lolos bpom dan mui kok nga "
"598","  keluarga kaya rela terbang ke luar negeri untuk menerima vaksin dengan kualitas terbaik "
"599","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"600","  vaksin tak percaya pil kurus percaya bagus"
"601","  berikut manfaat vaksin disamping untuk kekebalan individu juga bermanfaat buat kekebalan kelompok 

vaksin dapat memu"
"602","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"603","  setelah presiden  divaksin  artis dan influencer sudah divaksin c ini artinya masyarakat luas tak perlu me"
"604","  vaksin tak percaya pil kurus percaya bagus"
"605","  serbia menjadi negara eropa pertama yg melakukan vaksinasi massal dgn vaksin asal china yaitu sinopharm

hungaria juga sud"
"606","  ga tebakan

drpd aku bingung dijewer ma bluebirdmari seruan yuuk
soal tinggi aku cm
jawab di replay
clue gt c"
"607","  vaksin tak percaya janji manis lelaki percaya plak"
"608","  pendapat ahli imunologi mengatakan vaksi sinovac aman dan efektif ngapain kalian masih mendengarkan pendapat yang meng"
"609","  vaksin tak percaya janji manis lelaki percaya plak"
"610","  vaksin tak percaya janji manis lelaki percaya plak"
"611","  sy cuma mau bilang mampus

kualat memanfaatkan islam unk kepentingan kelompok aplg dgn cara yg dilarang dalam islam

ta"
"612","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"613","  temen gua kena covid x gejala infeksi ke lebih berat dari yg pertama sampe presyok asli kalo bisa vaksin mendin"
"614","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"615","  vaksin tak percaya janji manis lelaki percaya plak"
"616","  seperti yg sudah kita ketahui bersama pemerintah indonesia sudah memulai program vaksinasi covid ditandai dengan peny"
"617","  vaksin tak percaya janji manis lelaki percaya plak"
"618","   cm
tangkal hoax vaksin kovid"
"619","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"620","    sedangkan vaksin pun sebagai pencegahan dalam perubatan kita perlu l "
"621","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"622","  

tlg dilacak vidio ini menyebar hoax yg sangat meresahkan masyarakat  
vidio ini insiden "
"623","  vaksin tak percaya janji manis lelaki percaya plak"
"624","  vaksin tak percaya janji manis lelaki percaya plak"
"625","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"626","  vaksin tak percaya pil kurus percaya bagus"
"627","  ibaratnya begal nih diambil satu dipatahin tangan kakinya lehernya diikat trus latihan "
"628","inilah mengapa orang yg sudah terinfeksi covid idealnya tetap di vaksin "
"629","  vaksin tak percaya pil kurus percaya bagus"
"630","  vaksin tak percaya janji manis lelaki percaya plak"
"631","  vaksin tak percaya pil kurus percaya bagus"
"632","  vaksin itu soal keselamatan dan kesehatan kita bersama juga salah satu ikhtiar kita dan pemerintah dalam memerangi pandemi"
"633","   menurut mata batin ku
tb  

tangkal hoax vaksin kovid"
"634","  vaksin tak percaya pil kurus percaya bagus"
"635","  di awal kemunculan dokter  saya gak respek saya anggap dia terlalu berlebihan 
tapi ternyata sikap dia yang s"
"636","  vaksin tak percaya pil kurus percaya bagus"
"637","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"638","  cip deh 

"
"639","  bantu sebarkan berita ini agar para kadrun membaca tentang ini
agar mereka bs sedikit bersyukur karena negara kita memiliki"
"640","  vaksin tak percaya janji manis lelaki percaya plak"
"641","  vaksin tak percaya pil kurus percaya bagus"
"642","  vaksin tak percaya pil kurus percaya bagus"
"643","  vaksin tak percaya pil kurus percaya bagus"
"644","   yg percaya yah cuma org bodoh wong vaksin aja yg duluan garda depan bel "
"645","  usah risau menerima beberapa vaksin dalam masa yang sama adalah selamat 

komunikasikita
vaksincovid 
jabatanpenera"
"646","  vaksin tak percaya janji manis lelaki percaya plak"
"647","  kode barcode yg menempel pd botol cairan vaksin dibilang chip yg ada dlm vaksin
kadrun kalo membodohi temannya sendiri g"
"648","  vaksin tak percaya janji manis lelaki percaya plak"
"649","  zubairi menegaskan hal tsb tidaklah benar sebab menyuntik tidak harus selalu tegak lurus dengan cara intramuskular hal it"
"650","  akhirnya nies nyerah dan lempar handuk krn tdk sanggup lagi menangani covid 
dan meminta pemerintah pusat utk mengambil"
"651","  vaksin tak percaya pil kurus percaya bagus"
"652","  ceritanyateroris minta keadilan

tangkal hoax vaksin kovid
awasfpiulargantikulit 
 "
"653","  vaksin tak percaya pil kurus percaya bagus"
"654","  vaksin tak percaya pil kurus percaya bagus"
"655","  vaksin tak percaya pil kurus percaya bagus"
"656","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
"657","  vaksin tak percaya bercinta percaya pulak"
"658","  kominfo memastikan informasi yang menyebutkan penerima vaksin covid buatan sinovac meninggal dunia adalah kabar hoax tak"
"659","  vaksin tidak percaya tekan link ini untuk melihat perempuan seksi ini menari untuk anda percaya"
"660","  israel menolak membagikan vaksin covid kepada warga palestina

saya tidak tahu vaksin merk apa yg israel punya tapi kalau kebija"
"661","  setelah tibanya vaksin covid sinovac asal china di indonesia pt bio farma menyampaikan hasil audit awal uji vaksin dengan"
"662","  vaksin tak percaya pil kurus percaya bagus"
"663","  vaksin tak percaya janji manis lelaki percaya plak"
"664","  ga tebakan

drpd aku bingung dijewer ma bluebirdmari seruan yuuk
soal tinggi aku cm
jawab di replay
clue gt c"
"665","  vaksin tak percaya janji manis lelaki percaya plak"
"666","  vaksin tak percaya janji manis lelaki percaya plak"
"667","  vaksin tak percaya janji manis lelaki percaya plak"
"668","  ceritanyateroris minta keadilan

tangkal hoax vaksin kovid
awasfpiulargantikulit 
 "
"669","  pelertina nolak vaksin dari israel
tapi jual derita ga dikasi vaksin
lalu skrg mau beli vaksin dari rusia dgn stok terbata"
"670","  vaksin tak percaya ibu mengandung makan kicap anak jadi hitam percaya pulak"
